wl,u,s,m,l
300,0.00066924,0,0,0
301,0.00088357,0,0,0
302,0.00109922,0,0,0
303,0.00131585,0,0,0
304,0.00153312,0,0,0
305,0.00175074,0,0,0
306,0.00196843,0,0,0
307,0.00218598,0,0,0
308,0.00240318,0,0,0
309,0.00261987,0,0,0
310,0.00283592,0,0,0
311,0.00305125,0,0,0
312,0.0032658,0,0,0
313,0.003479551,0,0,0
314,0.003692501,0,0,0
315,0.003904701,0,0,0
316,0.004116221,0,0,0
317,0.004327151,0,0,0
318,0.004537581,0,0,0
319,0.004747651,0,0,0
320,0.004957501,0,0,0
321,0.005167271,0,0,0
322,0.005377111,0,0,0
323,0.005587171,0,0,0
324,0.005797601,0,0,0
325,0.006008541,0,0,0
326,0.006220111,0,0,0
327,0.006432431,0,0,0
328,0.006645591,0,0,0
329,0.006859671,0,0,0
330,0.007074711,0,0,0
331,0.007290741,0,0,0
332,0.007507761,0,0,0
333,0.007725751,0,0,0
334,0.007944631,0,0,0
335,0.008164331,0,0,0
336,0.008384721,0,0,0
337,0.008605671,0,0,0
338,0.008826981,0,0,0
339,0.009048461,0,0,0
340,0.009269871,0,0,0
341,0.009490961,0,0,0
342,0.009711441,0,0,0
343,0.009931011,0,0,0
344,0.010149352,0,0,0
345,0.010366102,0,0,0
346,0.010580902,0,0,0
347,0.010793372,0,0,0
348,0.011003112,0,0,0
349,0.011209722,0,0,0
350,0.011412772,0,0,0
351,0.011611842,0,0,0
352,0.011806462,0,0,0
353,0.011996212,0,0,0
354,0.012180612,0,0,0
355,0.012359202,0,0,0
356,0.012531522,0,0,0
357,0.012697072,0,0,0
358,0.012855372,0,0,0
359,0.013005952,0,0,0
360,0.013148292,0,0,0
361,0.013281912,0,0,0
362,0.013406292,0,0,0
363,0.013520932,0,0,0
364,0.013625322,0,0,0
365,0.013718942,0,0,0
366,0.013801282,0,0,0
367,0.013871802,0,0,0
368,0.013929992,0,0,0
369,0.013975332,0,0,0
370,0.014007272,0,0,0
371,0.014025312,0,0,0
372,0.014028922,0,0,0
373,0.014017582,0,0,0
374,0.013990772,0,0,0
375,0.013948002,0,0,0
376,0.013888782,0,0,0
377,0.013812632,0,0,0
378,0.013719102,0,0,0
379,0.013607762,0,0,0
380,0.013478222,0,0,0
381,0.013330132,0,0,0
382,0.013163172,0,0,0
383,0.012977102,0,0,0
384,0.012771742,0,0,0
385,0.012546982,0,0,0
386,0.012302822,0,0,0
387,0.012039372,0,0,0
388,0.011756852,0,0,0
389,0.011455632,0,0,0
390,0.011136252,0,0,0
391,0.010799412,0,0,0
392,0.010446002,0,0,0
393,0.010077142,0,0,0
394,0.009694121,0,0,0
395,0.009298491,1.00E-08,0,0
396,0.008891981,3.00E-08,0,0
397,0.008476551,8.00E-08,0,0
398,0.008054341,2.10E-07,0,0
399,0.007627651,5.20E-07,0,0
400,0.007198911,1.19E-06,0,0
401,0.006770651,2.54E-06,0,0
402,0.006345401,5.14E-06,0,0
403,0.005925711,9.80E-06,0,0
404,0.005514031,1.78E-05,0,0
405,0.005112691,3.08E-05,0,0
406,0.004723831,5.09E-05,0,0
407,0.004349371,8.10E-05,0,0
408,0.003990951,0.00012427,0,0
409,0.003649911,0.00018426,0,0
410,0.00332729,0.00026484,0,0
411,0.00302382,0.00036993,0,0
412,0.00273991,0.00050331,0,0
413,0.00247569,0.00066841,0,0
414,0.00223102,0.0008681,0,0
415,0.00200552,0.00110459,0,0
416,0.00179862,0.00137924,0,0
417,0.00160958,0.00169253,0,0
418,0.00143754,0.00204404,0,0
419,0.00128154,0.00243248,0,0
420,0.00114056,0.00285574,0,0
421,0.00101355,0.00331103,0,0
422,0.00089946,0.00379495,0,0
423,0.00079724,0.00430369,0,0
424,0.00070586,0.00483311,0,0
425,0.00062436,0.00537887,0,0
426,0.00055181,0.00593661,0,0
427,0.00048734,0.006502,0,0
428,0.00043013,0.00707085,0,0
429,0.00037944,0.00763918,0,0
430,0.00033458,0.00820328,0,0
431,0.00029493,0.008759731,0,0
432,0.0002599,0.009305461,0,0
433,0.00022898,0.009837731,0,0
434,0.00020172,0.010354141,0,0
435,0.00017769,0.010852621,0,0
436,0.00015652,0.011331431,0,0
437,0.00013787,0.011789111,0,0
438,0.00012146,0.012224481,0,0
439,0.00010701,0.012636631,0,0
440,9.43E-05,0.013024851,0,0
441,8.31E-05,0.013388651,0,0
442,7.33E-05,0.013727711,0,0
443,6.46E-05,0.014041861,0,0
444,5.70E-05,0.014331051,0,0
445,5.03E-05,0.014595371,0,0
446,4.44E-05,0.014834971,0,0
447,3.92E-05,0.015050101,0,0
448,3.46E-05,0.015241061,0,0
449,3.05E-05,0.015408221,0,0
450,2.70E-05,0.015551961,0,0
451,2.39E-05,0.015672711,0,0
452,2.11E-05,0.015770921,0,0
453,1.87E-05,0.015847081,0,0
454,1.65E-05,0.015901651,0,0
455,1.46E-05,0.015935141,0,0
456,1.30E-05,0.015948051,0,0
457,1.15E-05,0.015940901,0,0
458,1.02E-05,0.015914201,0,0
459,9.04E-06,0.015868481,0,0
460,8.02E-06,0.015804261,0,0
461,7.12E-06,0.015722091,0,0
462,6.32E-06,0.015622511,0,0
463,5.62E-06,0.015506071,0,0
464,5.00E-06,0.015373321,0,0
465,4.44E-06,0.015224841,0,0
466,3.95E-06,0.015061201,0,0
467,3.52E-06,0.014883001,0,0
468,3.13E-06,0.014690851,0,0
469,2.79E-06,0.014485341,0,0
470,2.49E-06,0.014267111,0,0
471,2.22E-06,0.014036811,0,0
472,1.98E-06,0.013795071,0,0
473,1.77E-06,0.013542571,0,0
474,1.58E-06,0.013279981,0,0
475,1.41E-06,0.013007981,0,0
476,1.26E-06,0.012727271,0,0
477,1.13E-06,0.012438551,0,0
478,1.01E-06,0.012142531,0,0
479,9.00E-07,0.011839921,0,0
480,8.10E-07,0.011531441,0,0
481,7.20E-07,0.011217811,0,0
482,6.50E-07,0.010899751,0,0
483,5.80E-07,0.010577981,0,0
484,5.20E-07,0.010253211,0,0
485,4.70E-07,0.009926161,1.00E-08,0
486,4.20E-07,0.009597531,2.00E-08,0
487,3.80E-07,0.009268021,6.00E-08,0
488,3.40E-07,0.008938321,1.40E-07,0
489,3.10E-07,0.008609111,2.90E-07,0
490,2.70E-07,0.00828105,6.00E-07,0
491,2.50E-07,0.00795479,1.19E-06,0
492,2.20E-07,0.00763098,2.25E-06,0
493,2.00E-07,0.00731022,4.09E-06,0
494,1.80E-07,0.00699314,7.19E-06,0
