wavelength,uv,sw,mw,lw
300,2.70E-05,0,0,0
301,3.35E-05,0,0,0
302,4.32E-05,0,0,0
303,5.82E-05,0,0,0
304,8.18E-05,0,0,0
305,0.000118077,0,0,0
306,0.000173334,0,0,0
307,0.000258939,0,0,0
308,0.000389511,0,0,0
309,0.000577604,0,0,0
310,0.000833806,0,0,0
311,0.00115832,0,0,0
312,0.001532552,0,0,0
313,0.001935476,0,0,0
314,0.002343808,0,0,0
315,0.00274175,0,0,0
316,0.0031168,0,0,0
317,0.003459499,0,0,0
318,0.003771924,0,0,0
319,0.004051864,0,0,0
320,0.004302605,0,0,0
321,0.004531759,0,0,0
322,0.004748374,0,0,0
323,0.004958861,0,0,0
324,0.005159459,0,0,0
325,0.005352081,0,0,0
326,0.005542716,0,0,0
327,0.005731221,0,0,0
328,0.005915765,0,0,0
329,0.006096687,0,0,0
330,0.006278647,0,0,0
331,0.006465927,0,0,0
332,0.006649178,0,0,0
333,0.006834133,0,0,0
334,0.007024391,0,0,0
335,0.007221284,0,0,0
336,0.007406754,0,0,0
337,0.00761214,0,0,0
338,0.007840103,0,0,0
339,0.008084379,0,0,0
340,0.008338832,0,0,0
341,0.008615675,0,0,0
342,0.008901694,0,0,0
343,0.009202265,0,0,0
344,0.009509407,0,0,0
345,0.009830542,0,0,0
346,0.010156281,0,0,0
347,0.010489617,0,0,0
348,0.010824912,0,0,0
349,0.011171389,0,0,0
350,0.011505054,0,0,0
351,0.011843037,0,0,0
352,0.012189469,0,0,0
353,0.012518351,0,0,0
354,0.012850376,0,0,0
355,0.013181567,0,0,0
356,0.013473297,0,0,0
357,0.013772687,0,0,0
358,0.014068081,0,0,0
359,0.014361395,0,0,0
360,0.014631598,0,0,0
361,0.014881534,0,0,0
362,0.015114293,0,0,0
363,0.01532102,0,0,0
364,0.015515725,0,0,0
365,0.01569399,0,0,0
366,0.015864381,0,0,0
367,0.01603686,0,0,0
368,0.016172757,0,0,0
369,0.016293077,0,0,0
370,0.016384521,0,0,0
371,0.016451666,0,0,0
372,0.016482568,0,0,0
373,0.016481512,0,0,0
