wavelength,sw,lw
300,0.001855423,0.000727806
301,0.001906611,0.000748189
302,0.001957323,0.000768809
303,0.00200746,0.000789652
304,0.002056924,0.000810708
305,0.002105618,0.000831964
306,0.00215345,0.000853404
307,0.002200326,0.000875017
308,0.002246161,0.000896786
309,0.002290868,0.000918697
310,0.002334368,0.000940734
311,0.002376585,0.000962881
312,0.00241745,0.00098512
313,0.002456898,0.001007435
314,0.002494872,0.001029807
315,0.00253132,0.001052219
316,0.0025662,0.001074651
317,0.002599474,0.001097084
318,0.002631114,0.0011195
319,0.002661101,0.001141876
320,0.002689424,0.001164195
321,0.002716079,0.001186434
322,0.002741074,0.001208574
323,0.002764425,0.001230592
324,0.002786157,0.001252468
325,0.002806305,0.00127418
326,0.002824913,0.001295707
327,0.002842035,0.001317026
328,0.002857733,0.001338116
329,0.002872081,0.001358956
330,0.002885158,0.001379522
331,0.002897056,0.001399794
332,0.002907872,0.001419749
333,0.002917714,0.001439367
334,0.002926695,0.001458626
335,0.002934939,0.001477504
336,0.002942573,0.001495981
337,0.002949734,0.001514036
338,0.002956562,0.001531648
339,0.002963205,0.001548799
340,0.002969813,0.001565468
341,0.002976541,0.001581636
342,0.00298355,0.001597285
343,0.002991,0.001612397
344,0.002999055,0.001626955
345,0.00300788,0.001640942
346,0.003017641,0.001654341
347,0.003028503,0.001667138
348,0.003040631,0.001679317
349,0.003054189,0.001690865
350,0.003069338,0.00170177
351,0.003086234,0.001712017
352,0.003105032,0.001721597
353,0.003125883,0.001730499
354,0.003148929,0.001738712
355,0.003174311,0.00174623
356,0.003202161,0.001753043
357,0.003232603,0.001759146
358,0.003265755,0.001764532
359,0.003301728,0.001769198
360,0.003340621,0.001773139
361,0.003382527,0.001776354
362,0.003427527,0.001778841
363,0.003475694,0.001780599
364,0.00352709,0.001781629
365,0.003581766,0.001781934
366,0.003639762,0.001781517
367,0.003701108,0.001780381
368,0.003765822,0.001778532
369,0.003833911,0.001775976
370,0.003905369,0.00177272
371,0.003980182,0.001768775
372,0.004058321,0.001764148
373,0.004139749,0.001758851
374,0.004224415,0.001752896
375,0.004312258,0.001746295
376,0.004403208,0.001739063
377,0.004497183,0.001731214
378,0.004594089,0.001722765
379,0.004693827,0.001713732
380,0.004796283,0.001704133
381,0.004901338,0.001693988
382,0.005008863,0.001683315
383,0.005118719,0.001672137
384,0.005230763,0.001660473
385,0.005344843,0.001648347
386,0.005460797,0.001635782
387,0.005578463,0.001622801
388,0.005697667,0.001609429
389,0.005818234,0.001595693
390,0.005939983,0.001581616
391,0.006062727,0.001567228
392,0.006186277,0.001552554
393,0.00631044,0.001537622
394,0.006435019,0.001522461
395,0.006559816,0.0015071
396,0.006684629,0.001491568
397,0.006809256,0.001475895
398,0.006933492,0.001460111
399,0.00705713,0.001444247
400,0.007179963,0.001428333
401,0.007301783,0.001412401
402,0.007422381,0.001396481
403,0.007541548,0.001380606
404,0.007659073,0.001364808
405,0.007774747,0.001349118
406,0.007888359,0.001333568
407,0.007999698,0.001318191
408,0.008108554,0.001303018
409,0.008214717,0.001288083
410,0.008317974,0.001273416
411,0.008418117,0.001259052
412,0.008514933,0.001245021
413,0.008608213,0.001231355
414,0.008697747,0.001218088
415,0.008783324,0.00120525
416,0.008864736,0.001192873
417,0.008941773,0.00118099
418,0.009014228,0.00116963
