wl,UV,blue,green,red
300,0,0,0,0
301,0,0,0,0
302,2.89246665122833E-05,0,0,0
303,6.64086731149363E-05,0,0,0
304,0.000106745793081046,0,0,0
305,0.000149318895306917,0,0,0
306,0.000191506720589568,0,0,0
307,0.000232774697170280,0,0,0
308,0.000273447477532090,0,0,0
309,0.000313169321636752,0,0,0
310,0.000350684396624487,0,0,0
311,0.000389830561829082,0,0,0
312,0.000431151513989487,0,0,0
313,0.000471385072671986,0,0,0
314,0.000511618631354486,0,0,0
315,0.000552395886775938,0,0,0
316,0.000593716838936342,0,0,0
317,0.000636125184574652,0,0,0
318,0.000679620923690868,0,0,0
319,0.000724204056284989,0,0,0
320,0.000769874582357015,0,0,0
321,0.000816632501906947,0,0,0
322,0.000864477814934784,0,0,0
323,0.000913410521440527,0,0,0
324,0.000963974318163127,0,0,0
325,0.00101616920510259,0,0,0
326,0.00107053887899786,0,0,0
327,0.00112762703658788,0,0,0
328,0.00118634628439478,0,0,0
329,0.00124724031915748,0,0,0
330,0.00131030914087599,0,0,0
331,0.00137555274955032,0,0,0
332,0.00144351484191941,0,0,0
333,0.00151365172124430,0,0,0
334,0.00158596338752501,0,0,0
335,0.00165990614402257,0,0,0
336,0.00173493629399805,0,0,0
337,0.00181159753419037,0,0,0
338,0.00188934616786062,0,0,0
339,0.00196818219500876,0,0,0
340,0.00204810561563480,0,0,0
341,0.00212911642973875,0,0,0
342,0.00221121463732061,0,0,0
343,0.00229385654164142,0,0,0
344,0.00237704214270118,0,0,0
345,0.00245968404702199,0,0,0
346,0.00254232595134280,0,0,0
347,0.00262496785566361,0,0,0
348,0.00270924085020128,0,0,0
349,0.00279568863169475,0,0,0
350,0.00288431120014405,0,0,0
351,0.00297456485881019,0,0,0
352,0.00306699330443215,0,0,0
353,0.00316050914353201,0,0,0
354,0.00325565607284873,0,0,0
355,0.00335243409238232,0,0,0
356,0.00345084320213275,0,0,0
357,0.00355088340210005,0,0,0
358,0.00365255469228420,0,0,0
359,0.00375640076942416,0,0,0
360,0.00386133424004204,0,0,0
361,0.00396789880087676,0,0,0
362,0.00407663814866731,0,0,0
363,0.00418700858667470,0,0,0
364,0.00429955381163791,0,0,0
365,0.00441373012681797,0,0,0
366,0.00452953753221489,0,0,0
367,0.00464643233108973,0,0,0
368,0.00476658931039828,0,0,0
369,0.00489000847014054,0,0,0
370,0.00501668981031651,0,0,0
371,0.00514500224070935,0,0,0
372,0.00527331467110218,0,0,0
373,0.00540162710149502,0,0,0
374,0.00553048322862680,0,0,0
375,0.00565879565901965,0,0,0
376,0.00578710808941248,0,0,0
377,0.00591705161002217,0,0,0
378,0.00605025731106559,0,0,0
379,0.00618726888928166,0,0,0
380,0.00632754264793145,0,0,0
381,0.00646944749679811,0,0,0
382,0.00661135234566476,0,0,0
383,0.00675380089127037,0,0,0
384,0.00689624943687598,0,0,0
385,0.00703978537595948,0,0,0
386,0.00718223392156509,0,0,0
387,0.00732359507369279,0,0,0
388,0.00746332513560363,0,0,0
389,0.00760196780403657,0,0,0
390,0.00774115416920846,1.69672557415073E-06,0,0
391,0.00788034053438036,5.09017672245217E-06,0,0
392,0.00801952689955224,9.331990657829E-06,0,0
393,0.00815816956798517,1.52705301673565E-05,0,0
394,0.00829735593315707,2.29057952510348E-05,0,0
395,0.00843599860159000,3.22377859088638E-05,0,0
396,0.00857301017980609,4.32665021408435E-05,0,0
397,0.00870404109389369,5.5991943946974E-05,0,0
398,0.00883017873733072,7.04141113272552E-05,0,0
399,0.00895087941337821,8.56846414946117E-05,0,0
400,0.00906777421225304,0.000102651897236119,0,0
401,0.00918249422417205,0.000121315878551777,0,0
402,0.00929395205565736,0.000141676585441586,0,0
403,0.00940051661649209,0.000164582380692620,0,0
404,0.00950164420993729,0.000190033264304881,0,0
405,0.00959787853273192,0.000218877599065443,0,0
406,0.00968758849465911,0.000251115384974307,0,0
407,0.00977023039897992,0.000285898259244397,0,0
408,0.00984580424569435,0.000324074584662789,0,0
409,0.00991376633806343,0.000363099272868255,0,0
410,0.00997574776630404,0.000403820686647873,0,0
411,0.0100301174401993,0.000447087188788716,0,0
412,0.0100768753597492,0.000491202053716635,0,0
413,0.0101160215249538,0.000537013644218705,0,0
414,0.0101480996325520,0.000583673597507849,0,0
415,0.0101731096825439,0.000637968815880672,0,0
416,0.0101932264618851,0.000699050936550098,0,0
417,0.0102079062738368,0.000767768322303204,0,0
418,0.0102160617249211,0.000844969335927061,0,0
419,0.0102171491183990,0.000929805614634598,0,0
420,0.0102111684542706,0.00102227715842581,0,0
421,0.0101986634292746,0.00112238396730070,0,0
422,0.0101823525271061,0.00123097440404635,0,0
423,0.0101616920510259,0.00135568373374643,0,0
424,0.0101339635173393,0.00149481523082679,0,0
425,0.0100986232293073,0.00164921725807451,0,0
426,0.0100567585804080,0.00181973817827665,0,0
427,0.0100078258739022,0.00200468126585908,0,0
428,0.00995073771631221,0.00220574324639594,0,0
429,0.00988658150111580,0.00242207575710016,0,0
430,0.00981644462179090,0.00265622388633295,0,0
431,0.00974087077507648,0.00291158108524265,0,0
