Wavelength,uv,mw,lw
300,0.003001715,0.000269713,0.000210035
301,0.003001715,0.000280502,0.000210035
302,0.002984563,0.000312868,0.000163361
303,0.002984563,0.000334445,0.000140023
304,0.003001715,0.000356022,0.000116686
305,0.003001715,0.000377599,0.000116686
306,0.003018868,0.000399176,9.33E-05
307,0.003036021,0.000409964,9.33E-05
308,0.003087479,0.000431541,9.33E-05
309,0.003121784,0.00044233,9.33E-05
310,0.003190395,0.000463907,9.33E-05
311,0.003259005,0.000485484,9.33E-05
312,0.003327616,0.000507061,9.33E-05
313,0.003361921,0.000507061,9.33E-05
314,0.003430532,0.000528638,9.33E-05
315,0.003516295,0.000550215,9.33E-05
316,0.003602058,0.000561004,0.000140023
317,0.003670669,0.000571792,0.000116686
318,0.00373928,0.000582581,0.000116686
319,0.003825043,0.000604158,0.000116686
320,0.003910806,0.000614946,0.000163361
321,0.00399657,0.000636524,0.000163361
322,0.004082333,0.000647312,0.000210035
323,0.004168096,0.000668889,0.000233372
324,0.004271012,0.000679678,0.000280047
325,0.004373928,0.000701255,0.000326721
326,0.004476844,0.000722832,0.000443407
327,0.00457976,0.000744409,0.000560093
328,0.004682676,0.000755197,0.000653442
329,0.004802744,0.000765986,0.000793466
330,0.004922813,0.000787563,0.001003501
331,0.005042882,0.00080914,0.001190198
332,0.00516295,0.000819929,0.001330222
333,0.005283019,0.000830717,0.00151692
334,0.00542024,0.000852294,0.001750292
335,0.005557461,0.000873871,0.002007001
336,0.005694683,0.00088466,0.002170362
337,0.005849057,0.000895448,0.00235706
338,0.006020583,0.000917025,0.002567095
339,0.006174957,0.000938603,0.002707118
340,0.006329331,0.00096018,0.002800467
341,0.006500858,0.000970968,0.002893816
342,0.006672384,0.000992545,0.002987165
343,0.006809606,0.001003334,0.003010502
344,0.007015437,0.001024911,0.003057176
345,0.007221269,0.001046488,0.003057176
346,0.007409949,0.001057276,0.003057176
347,0.007598628,0.001068065,0.003010502
348,0.007770154,0.001078853,0.002987165
349,0.007958834,0.001089642,0.002917153
350,0.008147513,0.001111219,0.002847141
351,0.008336192,0.001122008,0.00277713
352,0.008576329,0.001132796,0.002707118
353,0.008765009,0.001143585,0.002590432
354,0.008970841,0.001154373,0.002473746
355,0.009176672,0.00117595,0.002380397
356,0.009365352,0.00117595,0.002287048
357,0.009536878,0.001186739,0.002193699
358,0.009708405,0.001197527,0.00210035
359,0.009897084,0.001197527,0.002007001
360,0.010102916,0.001197527,0.001913652
361,0.010308748,0.001219104,0.001820303
362,0.010463122,0.001219104,0.001750292
363,0.010651801,0.001219104,0.00168028
364,0.010789022,0.001219104,0.001586931
365,0.010977702,0.001229893,0.001540257
366,0.011166381,0.001229893,0.001470245
367,0.011320755,0.001240681,0.001400233
368,0.011475129,0.001240681,0.001353559
369,0.01161235,0.001240681,0.001306885
370,0.011766724,0.001240681,0.001283547
371,0.011903945,0.001240681,0.001236873
372,0.012024014,0.001240681,0.001190198
373,0.012109777,0.001240681,0.001143524
374,0.01219554,0.001240681,0.001143524
375,0.012281304,0.001229893,0.00109685
376,0.012349914,0.001229893,0.001073512
377,0.012418525,0.001219104,0.001050175
