wavelength,UV,green
300,0.00346336,0
301,0.003581497,0
302,0.00370571,0
303,0.003835704,0
304,0.003971182,0
305,0.004111847,0
306,0.004257403,0
307,0.004407553,0
308,0.004562002,0
309,0.004720452,0
310,0.004882607,0
311,0.005048171,0
312,0.005216847,0
313,0.005388339,0
314,0.005562351,0
315,0.005738585,0
316,0.005916746,0
317,0.006096537,0
318,0.006277662,0
319,0.006459824,0
320,0.006642727,5.34E-09
321,0.006826075,1.40E-08
322,0.00700957,2.21E-08
323,0.007192917,2.97E-08
324,0.007375819,3.70E-08
325,0.00755798,4.44E-08
326,0.007739103,5.20E-08
327,0.007918892,6.01E-08
328,0.00809705,6.89E-08
329,0.008273281,7.86E-08
330,0.008447288,8.95E-08
331,0.008618776,1.02E-07
332,0.008787447,1.16E-07
333,0.008953005,1.31E-07
334,0.009115155,1.49E-07
335,0.009273598,1.69E-07
336,0.00942804,1.92E-07
337,0.009578186,2.17E-07
338,0.009723756,2.46E-07
339,0.009864474,2.78E-07
340,0.010000061,3.15E-07
341,0.010130246,3.56E-07
342,0.01025478,4.01E-07
343,0.010373417,4.53E-07
344,0.010485914,5.10E-07
345,0.010592033,5.75E-07
346,0.010691567,6.47E-07
347,0.010784316,7.28E-07
348,0.010870081,8.18E-07
349,0.010948672,9.19E-07
350,0.011019937,1.03E-06
351,0.011083732,1.16E-06
352,0.011139914,1.30E-06
353,0.011188352,1.45E-06
354,0.011228955,1.62E-06
355,0.011261647,1.82E-06
356,0.011286347,2.03E-06
357,0.011302988,2.27E-06
358,0.01131155,2.53E-06
359,0.011312024,2.82E-06
360,0.011304399,3.15E-06
361,0.011288678,3.50E-06
362,0.011264909,3.90E-06
363,0.011233151,4.33E-06
364,0.011193462,4.82E-06
365,0.011145914,5.35E-06
366,0.011090621,5.93E-06
367,0.011027709,6.58E-06
368,0.010957304,7.29E-06
369,0.010879543,8.07E-06
370,0.010794599,8.93E-06
371,0.010702657,9.87E-06
372,0.010603902,1.09E-05
373,0.010498526,1.20E-05
374,0.010386755,1.33E-05
375,0.010268822,1.46E-05
376,0.01014496,1.61E-05
377,0.010015408,1.78E-05
378,0.009880431,1.95E-05
379,0.009740297,2.15E-05
380,0.009595276,2.36E-05
381,0.009445643,2.59E-05
382,0.009291684,2.84E-05
383,0.009133692,3.11E-05
384,0.00897196,3.41E-05
385,0.008806779,3.73E-05
386,0.008638448,4.08E-05
387,0.008467267,4.46E-05
388,0.008293536,4.88E-05
389,0.008117554,5.32E-05
390,0.007939615,5.81E-05
391,0.007760014,6.33E-05
392,0.007579047,6.89E-05
393,0.007397003,7.50E-05
394,0.007214162,8.16E-05
395,0.007030799,8.86E-05
396,0.00684719,9.63E-05
397,0.006663605,0.000104468
398,0.006480298,0.000113289
399,0.006297515,0.000122769
400,0.006115506,0.000132946
401,0.005934512,0.000143862
402,0.00575475,0.000155563
403,0.005576432,0.000168096
404,0.00539977,0.00018151
405,0.005224967,0.000195852
406,0.005052202,0.000211176
407,0.004881646,0.000227537
408,0.004713468,0.00024499
409,0.004547834,0.000263592
410,0.004384877,0.000283403
411,0.004224726,0.000304486
412,0.004067509,0.000326904
413,0.003913346,0.000350719
414,0.003762329,0.000376
415,0.003614545,0.000402816
416,0.003470077,0.000431235
417,0.003329005,0.000461328
418,0.003191381,0.000493167
419,0.003057251,0.000526827
420,0.00292666,0.000562381
421,0.002799647,0.000599905
422,0.002676228,0.000639474
423,0.002556414,0.000681164
424,0.002440214,0.000725054
425,0.002327634,0.000771219
426,0.002218657,0.000819735
427,0.002113265,0.000870679
428,0.002011437,0.000924128
429,0.001913148,0.000980156
430,0.00181836,0.001038836
431,0.001727027,0.001100239
432,0.001639107,0.001164438
433,0.001554552,0.001231503
434,0.001473303,0.001301496
435,0.001395298,0.001374481
436,0.001320477,0.001450519
437,0.001248775,0.001529671
438,0.001180121,0.001611986
439,0.001114442,0.001697511
440,0.001051664,0.001786295
441,0.000991713,0.00187838
442,0.00093451,0.001973796
443,0.000879975,0.002072571
444,0.000828029,0.00217473
445,0.000778592,0.002280296
446,0.000731583,0.002389273
447,0.000686919,0.002501661
448,0.000644521,0.002617461
449,0.000604306,0.002736665
450,0.000566195,0.002859249
451,0.000530108,0.002985179
452,0.000495965,0.003114423
453,0.000463689,0.003246944
454,0.000433202,0.003382678
455,0.000404431,0.003521557
456,0.0003773,0.003663512
457,0.000351737,0.003808468
458,0.000327671,0.003956323
459,0.000305034,0.00410697
460,0.000283757,0.004260299
461,0.000263774,0.004416197
462,0.000245023,0.00457452
463,0.000227443,0.00473512
464,0.000210974,0.004897848
465,0.000195555,0.005062549
466,0.000181134,0.00522904
