wavelength,UV,BLUE,GREEN
300,0.004686997,0.000768285,0.000851052
301,0.00495064,0.000825907,0.00087942
302,0.005214284,0.000883528,0.000907789
303,0.005477927,0.000938405,0.000934131
304,0.005741571,0.000990539,0.000958446
305,0.006005214,0.001039929,0.000980736
306,0.006268858,0.001086575,0.001000999
307,0.006532501,0.001130477,0.001019236
308,0.00680033,0.001174379,0.001035446
309,0.007072343,0.001218281,0.001049631
310,0.007348541,0.001264927,0.001063815
311,0.007628924,0.001314316,0.001077999
312,0.007913491,0.00136645,0.001092183
313,0.008202244,0.001421328,0.001106367
314,0.008495181,0.001478949,0.001120551
315,0.008788118,0.00153657,0.001134736
316,0.009081056,0.001594192,0.00114892
317,0.009373993,0.001651813,0.001163104
318,0.00966693,0.001706691,0.001175262
319,0.009959868,0.001758824,0.001185394
320,0.010252805,0.001808214,0.001193499
321,0.010545742,0.00185486,0.001199578
322,0.010838679,0.001898762,0.00120363
323,0.011127432,0.001942664,0.001207683
324,0.011412,0.001986566,0.001211736
325,0.011692382,0.002033212,0.001217815
326,0.01196858,0.002082602,0.00122592
327,0.012240594,0.002134735,0.001236051
328,0.012495867,0.002189613,0.001248209
329,0.012734402,0.002247234,0.001262393
330,0.012960382,0.002304856,0.001276578
331,0.013173808,0.002362477,0.001290762
332,0.013374679,0.002420098,0.001304946
333,0.013558811,0.00247772,0.001317104
334,0.013726204,0.002535341,0.001327235
335,0.013889412,0.002592963,0.001335341
336,0.014048435,0.002650584,0.00134142
337,0.014203273,0.002708205,0.001345472
338,0.014328818,0.002763083,0.001347499
339,0.014425069,0.002815216,0.001347499
340,0.014496211,0.002864606,0.001347499
341,0.014542244,0.002911252,0.001347499
342,0.014563168,0.002955154,0.001347499
343,0.014546428,0.002996312,0.001347499
344,0.014492026,0.003034726,0.001347499
345,0.014425069,0.003073141,0.001347499
346,0.014345557,0.003111555,0.001347499
347,0.014253491,0.003149969,0.001347499
348,0.014136316,0.003188384,0.001349525
349,0.013994032,0.003226798,0.001353578
350,0.013839194,0.003265212,0.001359656
351,0.013671801,0.003303626,0.001367762
352,0.013491854,0.003342041,0.001377893
353,0.013290983,0.003380455,0.001388025
354,0.013069188,0.003418869,0.001398156
355,0.012839023,0.003457283,0.001406262
356,0.012600488,0.003495698,0.001412341
357,0.012353584,0.003534112,0.001416393
358,0.01209831,0.003569782,0.00141842
359,0.011834666,0.003602709,0.00141842
360,0.011571023,0.003632891,0.00141842
361,0.011307379,0.00366033,0.00141842
362,0.011043736,0.003685025,0.00141842
363,0.010780092,0.00370972,0.00141842
364,0.010516448,0.003734415,0.00141842
365,0.010252805,0.003761854,0.00141842
366,0.009989161,0.003792036,0.00141842
367,0.009725518,0.003824963,0.00141842
368,0.009461874,0.003863377,0.001416393
369,0.009198231,0.003907279,0.001412341
370,0.008934587,0.003953925,0.001406262
371,0.008670944,0.004003315,0.001398156
372,0.0084073,0.004055448,0.001388025
373,0.008147841,0.004110326,0.00137992
374,0.007892567,0.004167947,0.001373841
375,0.007641478,0.004225569,0.001371814
376,0.007394574,0.00428319,0.001373841
377,0.007151855,0.004340811,0.00137992
378,0.00691332,0.00440392,0.001388025
379,0.00667897,0.004472517,0.001398156
380,0.00644462,0.004546602,0.001406262
381,0.00621027,0.004626174,0.001412341
382,0.005975921,0.004711235,0.001416393
383,0.005741571,0.004804526,0.001416393
384,0.005507221,0.00490605,0.001412341
385,0.005272871,0.005010317,0.001406262
386,0.005038521,0.005117328,0.001398156
387,0.004804171,0.005227083,0.001388025
388,0.004578191,0.005342326,0.001375867
389,0.004360581,0.005463056,0.001361683
390,0.00415134,0.005586531,0.001347499
391,0.003950468,0.005712749,0.001333314
392,0.003757967,0.005841711,0.00131913
393,0.00357802,0.005970673,0.001308999
394,0.003410627,0.006099636,0.00130292
395,0.003247419,0.006225854,0.001300893
396,0.003088396,0.006349328,0.00130292
397,0.002933558,0.006470059,0.001308999
398,0.002787089,0.006590789,0.001317104
399,0.00264899,0.00671152,0.001327235
400,0.002515076,0.006834994,0.001335341
401,0.002385346,0.006961213,0.00134142
402,0.002259802,0.007090175,0.001345472
403,0.002146812,0.007216393,0.001351551
404,0.002046376,0.007339867,0.001359656
