wl,uR,B,G,R
300,-2.91439730909917E-05,0.00015798807907,-0.000136020600909,0.000385108185907
301,-2.73950685233528E-05,0.000152195300214,-0.000117821859148,0.00034330573564
302,-2.56461639557138E-05,0.000146402521358,-9.96231173882313E-05,0.000301503285372
303,-2.38972593880749E-05,0.000140609742502,-8.14243756280723E-05,0.000259700835104
304,-2.2148354820436E-05,0.000134816963647,-6.32256338679133E-05,0.000217898384836
305,-2.0399450252797E-05,0.000129024184791,-4.50268921077543E-05,0.000176095934569
306,-1.20089647265457E-05,0.000119155685793,-3.29783678199282E-05,0.000168234768655
307,-3.61847920029431E-06,0.000109287186795,-2.09298435321022E-05,0.000160373602741
308,4.77200632595705E-06,9.94186877967726E-05,-8.88131924427613E-06,0.000152512436827
309,1.31624918522084E-05,8.95501887987826E-05,3.16720504354992E-06,0.000144651270913
310,2.15529773784598E-05,7.96816898007926E-05,1.5215729331376E-05,0.000136790104999
311,2.54720542651444E-05,7.66488722216396E-05,-7.31011968359466E-06,0.000106455824825
312,2.93911311518291E-05,7.36160546424866E-05,-2.98359686985653E-05,7.61215446503693E-05
313,3.33102080385137E-05,7.05832370633336E-05,-5.23618177135359E-05,4.57872644760715E-05
314,3.72292849251984E-05,6.75504194841806E-05,-7.48876667285066E-05,1.54529843017737E-05
315,4.11483618118831E-05,6.45176019050275E-05,-9.74135157434772E-05,-1.4881295872524E-05
316,8.77206359813376E-05,4.11472085335032E-05,-9.06080962636205E-05,-3.08169757245794E-06
317,0.000134292910151,1.77768151619789E-05,-8.38026767837638E-05,8.71790072760816E-06
318,0.00018086518432,-5.59357820954542E-06,-7.69972573039072E-05,2.05174990276743E-05
319,0.00022743745849,-2.89639715810697E-05,-7.01918378240505E-05,3.23170973277404E-05
320,0.000274009732659,-5.23343649525941E-05,-6.33864183441938E-05,4.41166956278065E-05
321,0.000471667962584,-3.26218886917845E-05,-4.03125480805272E-05,6.24181142867537E-05
322,0.00066932619251,-1.29094124309749E-05,-1.72386778168607E-05,8.0719532945701E-05
323,0.000866984422435,6.80306382983462E-06,5.83519244680587E-06,9.90209516046482E-05
324,0.00106464265236,2.65155400906442E-05,2.89090627104724E-05,0.000117322370264
