wl,FSS99,FSS80,FSS60,FSS40,FSS20,FSS10,FSS5,FSS2
300,89.77347195,77.62919519,62.51335351,50.38758639,10.10400786,5.657092154,1.010411462,2.130187728
301,89.69155844,77.50587642,62.63719652,50.40833537,10.09669658,5.645455859,0.93995453,2.058833237
302,89.62737872,77.47291696,62.71743437,50.5183053,10.03512854,5.597801698,0.846252836,1.985001526
303,89.78936081,77.41407299,62.74486723,50.55472703,9.998233767,5.539817161,0.780885505,1.9172794
304,89.84634135,77.47811486,62.73244323,50.58070063,10.09304935,5.593335074,0.828402447,1.994604681
305,89.97100795,77.55001028,62.66020822,50.58710079,10.10150117,5.582786419,0.857943211,2.017703794
306,90.03832841,77.56225032,62.58969689,50.45757435,10.12729446,5.595665314,0.902690451,2.042718635
307,89.9918819,77.57762331,62.57439931,50.38136705,10.1233429,5.551783382,0.919498953,2.009933337
308,90.09369655,77.66189005,62.62528834,50.4188556,10.07063729,5.513079388,0.945340829,1.989779162
309,90.22154643,77.70123856,62.55303593,50.32209707,10.07843696,5.512689001,0.978800004,2.051693199
310,90.34560543,77.81696183,62.56330095,50.39699465,10.04730899,5.486741322,0.97746002,2.087525793
311,90.50695504,77.8901086,62.57619203,50.45394179,10.04472086,5.54309932,0.967315173,2.112925936
312,90.4844965,77.88601542,62.66877235,50.47845844,10.07264266,5.553434297,0.947846802,2.104384534
313,90.41727296,77.82098838,62.79564156,50.49553333,10.05644075,5.526248526,0.904457262,2.017061727
314,90.45336475,77.6962034,62.81448504,50.4614396,10.07468547,5.494334367,0.907042942,1.97900548
315,90.2982295,77.55039028,62.88421102,50.47052562,10.0532071,5.462170436,0.89373839,1.980953032
316,90.42529633,77.57156919,62.79470216,50.43244582,9.956692878,5.406351783,0.827863467,1.928322381
317,90.63246739,77.63473302,62.74850346,50.53618535,9.976268339,5.426863316,0.86809891,1.977893202
318,90.67110105,77.61133382,62.78385568,50.6269513,10.02050529,5.418411129,0.860035273,2.011850287
319,90.77912878,77.59798759,62.77930826,50.61582257,10.05833322,5.442202336,0.908399304,2.011952458
320,90.88169725,77.51593692,62.74989944,50.55884905,10.10087305,5.454386439,0.955985532,1.985441937
321,90.97060769,77.59088924,62.68454662,50.49522226,10.10096518,5.417503639,0.960892993,1.978145904
322,91.05877728,77.69413547,62.51932712,50.32120381,9.976272144,5.393127837,0.903160102,1.907883107
323,91.35540434,77.82860015,62.43670328,50.24110282,9.917691745,5.384353154,0.869130165,1.900868019
324,91.39464518,77.81870511,62.37624278,50.22424646,9.944381812,5.414727362,0.885510206,2.008299196
325,91.55507354,77.93169263,62.38738821,50.22236412,9.939154335,5.448309594,0.870613552,2.039162358
326,91.78282454,77.91210967,62.47451746,50.3300267,10.0201345,5.508460044,0.923232185,2.0902062
