wl,FSS99,FSS80,FSS60,FSS40,FSS20,FSS10,FSS5,FSS2
300,0.89773472,0.77629195,0.62513354,0.50387586,0.10104008,0.056570922,0.010104115,0.021301877
301,0.89691558,0.77505876,0.62637197,0.50408335,0.10096697,0.056454559,0.00939955,0.020588332
302,0.89627379,0.77472917,0.62717434,0.5051831,0.10035129,0.055978017,0.008462528,0.019850015
303,0.89789361,0.77414073,0.62744867,0.50554727,0.099982338,0.055398172,0.007808855,0.0191728
304,0.89846341,0.77478115,0.62732443,0.50580701,0.10093049,0.055933351,0.008284024,0.019946047
305,0.89971008,0.77550010,0.62660208,0.50587101,0.10101501,0.055827864,0.008579432,0.020177038
306,0.90038328,0.77562250,0.62589697,0.50457574,0.10127294,0.055956653,0.009026905,0.020427186
307,0.8999188,0.77577623,0.62574399,0.50381367,0.1012334,0.055517834,0.009194990,0.020099333
308,0.90093697,0.77661890,0.62625288,0.5041886,0.10070637,0.055130794,0.009453408,0.019897792
309,0.90221546,0.77701239,0.62553036,0.50322097,0.10078437,0.055126890,0.009788000,0.020516932
310,0.90345605,0.77816962,0.62563301,0.50396995,0.10047309,0.054867413,0.00977460,0.020875258
311,0.90506955,0.7789011,0.62576192,0.50453942,0.10044721,0.05543099,0.009673152,0.021129259
312,0.9048450,0.77886015,0.62668772,0.50478458,0.10072643,0.055534343,0.009478468,0.021043845
313,0.90417273,0.77820988,0.62795642,0.50495533,0.10056441,0.055262485,0.009044573,0.020170617
314,0.90453365,0.7769620,0.62814485,0.5046144,0.10074685,0.054943344,0.009070429,0.01979005
315,0.9029823,0.77550390,0.62884211,0.50470526,0.1005321,0.054621704,0.00893738,0.019809530
316,0.90425296,0.77571569,0.62794702,0.50432446,0.099566929,0.054063518,0.008278635,0.019283224
317,0.90632467,0.77634733,0.62748503,0.50536185,0.099762683,0.054268633,0.00868099,0.019778932
318,0.90671101,0.77611334,0.62783856,0.5062695,0.10020505,0.054184111,0.008600353,0.020118503
319,0.90779129,0.77597988,0.62779308,0.50615823,0.10058333,0.054422023,0.009083993,0.020119525
320,0.90881697,0.77515937,0.62749899,0.50558849,0.10100873,0.054543864,0.009559855,0.019854419
321,0.90970608,0.77590889,0.62684547,0.50495222,0.10100965,0.054175036,0.009608930,0.019781459
322,0.91058777,0.77694135,0.62519327,0.50321204,0.099762721,0.053931278,0.009031601,0.019078831
323,0.91355404,0.77828600,0.62436703,0.50241103,0.099176917,0.053843532,0.008691302,0.019008680
324,0.91394645,0.77818705,0.62376243,0.50224246,0.099443818,0.054147274,0.008855102,0.020082992
325,0.91555074,0.77931693,0.62387388,0.50222364,0.099391543,0.054483096,0.008706136,0.020391624
326,0.91782825,0.77912110,0.62474517,0.5033003,0.1002013,0.055084600,0.009232322,0.0209021
327,0.91808147,0.77940484,0.62506897,0.5040704,0.10068007,0.055334106,0.009367325,0.021175540
328,0.91949033,0.78012480,0.62551227,0.5043088,0.10046485,0.055386268,0.009635037,0.021088673
329,0.91850139,0.77811419,0.62593287,0.50476434,0.1002176,0.055361339,0.009587285,0.02085329
330,0.91966659,0.7786876,0.62659868,0.50486340,0.10001902,0.055003839,0.009249756,0.020298995
331,0.92085992,0.77845908,0.62649746,0.50482298,0.099953860,0.054579455,0.009281054,0.019885872
332,0.92156173,0.77804958,0.6271100,0.50488928,0.10020703,0.054455324,0.009208667,0.01994586
333,0.92339886,0.77915048,0.62708141,0.50540204,0.10014998,0.054402661,0.00906348,0.020064595
334,0.92470165,0.77996767,0.62674665,0.50579245,0.10023573,0.054349776,0.009401640,0.02032903
335,0.92462020,0.78008291,0.62654486,0.50557920,0.10011340,0.054402412,0.009392373,0.020691261
336,0.92542407,0.7809124,0.62558666,0.50528828,0.10053285,0.054647556,0.009353004,0.021178032
337,0.92640477,0.78100109,0.62562930,0.50475872,0.10081090,0.054884843,0.009742381,0.021668991
338,0.92479737,0.78040123,0.62441000,0.5034447,0.10058791,0.054764325,0.009627194,0.021804405
339,0.9255305,0.7802886,0.62477307,0.50384920,0.10036413,0.054516102,0.009133758,0.021440000
340,0.92612084,0.78044929,0.62510313,0.50422050,0.10014070,0.054364772,0.00900471,0.021049816
341,0.92571005,0.78047330,0.6257521,0.50454906,0.099885374,0.05394397,0.008920177,0.020417005
342,0.92675127,0.78056817,0.62673678,0.50505221,0.10061764,0.05472027,0.009697902,0.021161852
343,0.92657089,0.78101475,0.62644690,0.50441992,0.10064751,0.054797247,0.010004054,0.021423918
344,0.92446761,0.78009420,0.62669503,0.50449867,0.10027405,0.054661248,0.009998228,0.021458224
345,0.92421942,0.78024311,0.62638135,0.50437826,0.10046853,0.055061185,0.010082009,0.021833800
346,0.92394208,0.78077077,0.62634017,0.50477220,0.10026117,0.054522283,0.009426032,0.021449147
347,0.92507332,0.78142622,0.62649695,0.50505567,0.10051172,0.054757369,0.009694108,0.021729741
348,0.92686359,0.78179336,0.62678591,0.50514181,0.10117031,0.054947314,0.010145248,0.021691117
349,0.92717381,0.78170296,0.62717215,0.50538650,0.10171089,0.055309997,0.010870681,0.022202772
350,0.92718109,0.78122995,0.62707337,0.50518674,0.10154085,0.055618035,0.011347459,0.022327954
351,0.92637543,0.78144510,0.62759171,0.50513974,0.10140295,0.055777389,0.011632923,0.022636731
352,0.92495886,0.78214665,0.62716443,0.50494828,0.10090211,0.0556481,0.011415550,0.023013807
353,0.92482747,0.78250310,0.62618631,0.50426130,0.10033569,0.055060140,0.010951748,0.02284148
354,0.92471561,0.78370799,0.62690102,0.50391303,0.10017094,0.054657966,0.010724810,0.022709758
355,0.92384692,0.78319593,0.62655802,0.50380913,0.10032386,0.054378638,0.010591858,0.022693741
356,0.9251560,0.78409528,0.62582372,0.50280719,0.10018565,0.054564398,0.010792226,0.022889560
357,0.92402956,0.78409647,0.62597156,0.50282808,0.10021792,0.055058350,0.011267988,0.023293997
358,0.92282155,0.78282300,0.62471780,0.50259775,0.10033460,0.055579458,0.011804650,0.023684754
359,0.92132199,0.78223309,0.62434505,0.50171832,0.10011447,0.055693839,0.011980735,0.023698174
360,0.92023479,0.7819511,0.62431572,0.5017058,0.099930706,0.055408863,0.011927584,0.02363131
361,0.921057,0.78316205,0.62397732,0.50141432,0.099583886,0.055046632,0.011816902,0.023678163
362,0.92134403,0.78416088,0.62445386,0.50175784,0.09961190,0.05506957,0.01182878,0.023796513
363,0.92262108,0.78543152,0.62514992,0.50261375,0.099913615,0.055333004,0.012068926,0.024102974
364,0.9233211,0.78610456,0.62599584,0.50342970,0.10035636,0.055458226,0.012183384,0.024181627
365,0.92310835,0.78517187,0.62703652,0.50417679,0.10099028,0.055581127,0.012302749,0.024035217
366,0.92370398,0.78502042,0.62765904,0.50406283,0.10102723,0.055553273,0.012103821,0.02414279
367,0.92344494,0.7844242,0.6270518,0.50406186,0.10072730,0.05521559,0.011778770,0.023860462
368,0.92364715,0.78469646,0.62716761,0.5041548,0.10091632,0.055573260,0.011791643,0.023750906
369,0.92490293,0.78575175,0.62669902,0.50459486,0.10105792,0.055835562,0.012008152,0.023933999
370,0.92413431,0.78549041,0.62656771,0.5046169,0.10107062,0.055714075,0.011907216,0.023746003
371,0.92472782,0.78612251,0.6271785,0.5047191,0.10106676,0.055802895,0.011899807,0.023782000
